        table_name         |        column_name        |          data_type          | is_nullable
 diagnosticos              | pais_origem               | text                        | YES
 diagnosticos              | idioma                    | text                        | YES
 diagnosticos              | produto                   | text                        | YES
 diagnosticos              | tipo_relatorio            | text                        | YES
 diagnosticos              | modelo_pdf                | text                        | YES
 diagnosticos              | contexto                  | text                        | YES
 diagnosticos              | respostas_numericas       | jsonb                       | YES
 diagnosticos              | respostas_codificadas     | jsonb                       | YES
 diagnosticos              | media_vibracional         | numeric                     | YES
 diagnosticos              | zona_predominante         | text                        | YES
 diagnosticos              | codigo_arquetipo          | text                        | YES
 diagnosticos              | pdf_url                   | text                        | YES
 diagnosticos              | payment_id                | text                        | YES
 diagnosticos              | status_pagamento          | text                        | YES
 diagnosticos              | tipo_pagamento            | text                        | YES
 diagnosticos              | valor_pago                | numeric                     | YES
 diagnosticos              | moeda                     | text                        | YES
 diagnosticos              | data_quiz                 | timestamp without time zone | YES
 diagnosticos              | data_pagamento            | timestamp without time zone | YES
 diagnosticos              | data_envio_relatorio      | timestamp without time zone | YES
 diagnosticos              | status_processo           | text                        | YES
 diagnosticos              | criado_em                 | timestamp without time zone | YES
 diagnosticos              | email_corrigido           | text                        | YES
 diagnosticos              | data_criacao              | timestamp without time zone | YES
 diagnosticos              | email_corrigido_enviado   | boolean                     | YES
 diagnosticos              | email_enviado_em          | timestamp with time zone    | YES
 diagnosticos              | email_erro                | text                        | YES
 diagnosticos              | email_entregue            | boolean                     | YES
 diagnosticos              | email_aberto              | boolean                     | YES
 diagnosticos              | email_clicado             | boolean                     | YES
 diagnosticos              | brevo_sincronizado        | boolean                     | YES
 diagnosticos              | affiliate_ref             | text                        | YES
 diagnosticos              | gateway                   | text                        | YES
 diagnosticos              | asaas_payment_id          | text                        | YES
 diagnosticos              | updated_at                | timestamp with time zone    | YES
 diagnosticos              | asaas_checkout_id         | text                        | YES
 diagnosticos_backup_dups  | id                        | integer                     | YES
 diagnosticos_backup_dups  | session_id                | text                        | YES
 diagnosticos_backup_dups  | nome                      | text                        | YES
 diagnosticos_backup_dups  | email                     | text                        | YES
 diagnosticos_backup_dups  | telefone                  | text                        | YES
 diagnosticos_backup_dups  | pais_origem               | text                        | YES
 diagnosticos_backup_dups  | idioma                    | text                        | YES
 diagnosticos_backup_dups  | produto                   | text                        | YES
 diagnosticos_backup_dups  | tipo_relatorio            | text                        | YES
 diagnosticos_backup_dups  | modelo_pdf                | text                        | YES
 diagnosticos_backup_dups  | contexto                  | text                        | YES
 diagnosticos_backup_dups  | respostas_numericas       | jsonb                       | YES
 diagnosticos_backup_dups  | respostas_codificadas     | jsonb                       | YES
 diagnosticos_backup_dups  | media_vibracional         | numeric                     | YES
 diagnosticos_backup_dups  | zona_predominante         | text                        | YES
 diagnosticos_backup_dups  | codigo_arquetipo          | text                        | YES
 diagnosticos_backup_dups  | pdf_url                   | text                        | YES
 diagnosticos_backup_dups  | payment_id                | text                        | YES
 diagnosticos_backup_dups  | status_pagamento          | text                        | YES
 diagnosticos_backup_dups  | tipo_pagamento            | text                        | YES
 diagnosticos_backup_dups  | valor_pago                | numeric                     | YES
 diagnosticos_backup_dups  | moeda                     | text                        | YES
 diagnosticos_backup_dups  | data_quiz                 | timestamp without time zone | YES
 diagnosticos_backup_dups  | data_pagamento            | timestamp without time zone | YES
 diagnosticos_backup_dups  | data_envio_relatorio      | timestamp without time zone | YES
 diagnosticos_backup_dups  | status_processo           | text                        | YES
 diagnosticos_backup_dups  | criado_em                 | timestamp without time zone | YES
 diagnosticos_backup_dups  | email_corrigido           | text                        | YES
 diagnosticos_backup_dups  | data_criacao              | timestamp without time zone | YES
 diagnosticos_backup_dups  | email_corrigido_enviado   | boolean                     | YES
 diagnosticos_backup_dups  | email_enviado_em          | timestamp with time zone    | YES
 diagnosticos_backup_dups  | email_erro                | text                        | YES
